;Unnamed: 0;AanestysId;Ryhma;Jaa;Ei;Tyhjia;Poissa;Yhteensa;Tyyppi;IstuntoVPVuosi;IstuntoPvm;AanestysMitatoity;KohtaKasittelyVaihe;AanestysValtiopaivaasia
0;634516;36087;Keskustan eduskuntaryhmä;47;0;0;2;49;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
1;634517;36087;Perussuomalaisten eduskuntaryhmä;34;0;0;3;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
2;634518;36087;Kansallisen kokoomuksen eduskuntaryhmä;33;1;0;3;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
3;634519;36087;Sosialidemokraattinen eduskuntaryhmä;31;0;0;3;34;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
4;634520;36087;Vihreä eduskuntaryhmä;7;7;0;1;15;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
5;634521;36087;Vasemmistoliiton eduskuntaryhmä;12;0;0;0;12;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
6;634522;36087;Ruotsalainen eduskuntaryhmä;0;9;0;1;10;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
7;634523;36087;Kristillisdemokraattinen eduskuntaryhmä;0;5;0;0;5;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
8;634524;36087;Hallitusryhmät;114;1;0;8;123;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
9;634525;36087;Oppositioryhmät;50;21;0;5;76;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
20;634566;36089;Keskustan eduskuntaryhmä;47;0;0;2;49;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
21;634567;36089;Perussuomalaisten eduskuntaryhmä;34;0;0;3;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
22;634568;36089;Kansallisen kokoomuksen eduskuntaryhmä;35;0;0;2;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
23;634569;36089;Sosialidemokraattinen eduskuntaryhmä;0;31;0;3;34;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
24;634570;36089;Vihreä eduskuntaryhmä;0;15;0;0;15;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
25;634571;36089;Vasemmistoliiton eduskuntaryhmä;0;12;0;0;12;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
26;634572;36089;Ruotsalainen eduskuntaryhmä;0;9;0;1;10;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
